,Game of Throws_VS_Kindha's Disappointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Sandra Hanson,Pass,Matt Masse,Pass,Christopher Kraft,Pass,James King,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Chris Tran,Pass,Justine Price,Pass,Carissa Wong,Pass,Nick Vetvut,Pass,Chris Tran,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Patrick Gauvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Cassandra Cheung,Pass,Kirsten Querbach,Pass,James King,Pass,Patrick Gauvin,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Chris Tran,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Will Leckie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Cassandra Cheung,Pass,Al Colantonio,Pass,James King,Pass,Will Leckie,Pass,Al Colantonio,Pass,James King,Pass,Will Leckie,Pass,Patrick Gauvin,Pass,James King,Pass,Will Leckie,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Melissa Martel,Pass,Sebastien Belanger,Pass,Edwin Wong,Pass,Chris Tran,Pass,Melissa Martel,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,James King,Pass,Matt Masse,Pass,James King,Pass,Mark Donahue,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Matt Masse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Sandra Hanson,Pass,James King,Pass,Matt Masse,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Edwin Wong,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mark Donahue,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Nick Vetvut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Kevin Hughes,Pass,Justine Price,Pass,Nick Vetvut,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Will Leckie,Pass,Al Colantonio,Pass,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Kevin Hughes,Pass,Kyle Sprysa,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kirsten Querbach,Pass,Mark Donahue,Pass,Will Leckie,Pass,Al Colantonio,Pass,Cassandra Cheung,Pass,Al Colantonio,Pass,Will Leckie,Pass,Cassandra Cheung,Pass,Al Colantonio,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,James King,Pass,Christopher Kraft,Pass,Celine Dumais,Pass,James King,Pass,Celine Dumais,Pass,Christopher Kraft,Pass,Matt Masse,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Edwin Wong,Pass,Nick Vetvut,Pass,Chris Tran,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Patrick Gauvin,Pass,Kirsten Querbach,Pass,Cassandra Cheung,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Kevin Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Carissa Wong,Pass,Kevin Hughes,Pass,Justine Price,Pass,Christopher LaFleur,Pass,Kevin Hughes,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Christopher Kraft,Pass,Mark Donahue,Pass,Sandra Hanson,Pass,Mark Donahue,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Kyle Sprysa,Pass,Christine Beals,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Christopher Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Sandra Hanson,Pass,Mark Donahue,Pass,James King,Pass,Christopher Kraft,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Chris Tran,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Kirsten Querbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Will Leckie,Pass,James King,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Edwin Wong,Pass,Melissa Martel,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Mark Donahue,Pass,Matt Masse,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Kyle Sprysa,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Celine Dumais,Pass,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Kyle Sprysa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Melissa Martel,Pass,Sebastien Belanger,Pass,Edwin Wong,Pass,Sebastien Belanger,Pass,Edwin Wong,Pass,Sebastien Belanger,Pass,Kyle Sprysa,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Will Leckie,Pass,Matt Masse,Pass,Cassandra Cheung,Pass,Matt Masse,Pass,James King,Pass,Kirsten Querbach,Pass,Matt Masse,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Christopher LaFleur,Pass,Chris Tran,Pass,Justine Price,Pass,Chris Tran,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Patrick Gauvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Patrick Gauvin,Pass,Will Leckie,Pass,Cassandra Cheung,Pass,Patrick Gauvin,Pass,James King,Pass,Cassandra Cheung,Pass,Will Leckie,Pass,James King,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dump, Swing, Huck, Repeat_VS_Karma Down Under",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,1st half,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,
